mapId	name	levelLimit	generalMap	linemaxPlayers	birthPointType	birthPoint	birthCameraType	mapResName	backMusic	mapDesc	recBattle	mapIcon	chapterId	chapterName	chapterResId	chapterStarNum	timeLimit	lastTaskId	lastDungeonId	dungeonType	commonReward	award1	award2	award3	victoryConditions	starConditions	vitality	mapConfig	showFinishAni	uiScale	uiOffset
10000	刘家集	1	1	100	1	91.36,48.43,75.85	0,11,-9,60,66	LJJ	1001	刘家集常规地图	5000	icon	1	小渔村	202001	30	300	0	0	1	0	0	0	0	3,100,1,100秒内通关;	1,100,1,100秒内通关;1,100,1,100秒内通关;	0	10001	1	1.2	-2
10001	刘家集	1	5	1	1	91.36,48.43,75.85	0,11,-9,60,66	LJJ	1001	刘家集杀山贼副本	5000	icon	1	小渔村	202001	30	300	0	0	1	0	0	0	0	3,,0,杀死所有野猴;	3,,0,杀死山贼头领;3,,0,杀死山贼头领;	0	10001	1	1.2	-2
10002	刘家集	1	5	1	1	91.36,48.43,75.85	0,11,-9,60,66	LJJ	1001	刘家集杀地痞副本	5000	icon	1	小渔村	202001	30	300	0	0	1	0	0	0	0	3,,0,杀死所有士兵;	3,,0,杀死山贼头领;3,,0,杀死山贼头领;	0	10002	1	1.2	-2
10003	刘家集	1	5	1	1	91.36,48.43,75.85	0,11,-9,60,66	LJJ	1001	刘家集挑战铁皮侠副本	5000	icon	1	小渔村	202001	30	300	0	0	1	0	0	0	0	3,,0,杀死所有地痞;	3,,0,杀死山贼头领;3,,0,杀死山贼头领;	0	10003	1	1.2	-2
10004	刘家集	1	5	1	1	91.36,48.43,75.85	0,11,-9,60,66	LJJ	1001	刘家集挑刺探营地	5000	icon	1	小渔村	202001	30	300	0	0	1	0	0	0	0	3,,0,杀死铁面侠;	3,,0,杀死山贼头领;3,,0,杀死山贼头领;	0	10004	1	1.2	-2
10005	刘家集	1	5	1	1	91.36,48.43,75.85	0,11,-9,60,66	LJJ	1001	刘家集挑刺探营地	5000	icon	1	小渔村	202001	30	300	0	0	1	0	0	0	0	3,,0,救助受困的游客;	3,,0,杀死山贼头领;3,,0,杀死山贼头领;	0	10005	1	1.2	-2
10006	刘家集	1	5	1	1	91.36,48.43,75.85	0,11,-9,60,66	LJJ	1001	刘家集挑刺探营地	5000	icon	1	小渔村	202001	30	300	0	0	1	0	0	0	0	3,,0,救助受困的游客;	3,,0,杀死山贼头领;3,,0,杀死山贼头领;	0	10006	1	1.2	-2
10010	开封城	20	1	100	1	13.57,56.88,-31.94	0,11,-9,60,180	KFF	1001	开封城常规地图	5000	icon	1	开封城	202001	30	300	0	0	1	0	0	0	0	3,,0,救助游客;	3,,0,杀死山贼头领;3,,0,杀死山贼头领;	0	10010	1	1.2	-2
10011	开封城	1	5	1	1	13.57,56.88,-31.94	0,11,-9,60,180	KFF	1001	开封城教训狐朋狗友	5000	icon	1	开封城	202001	30	300	0	0	1	0	0	0	0	3,,0,教训狐朋狗友;	3,,0,杀死山贼头领;3,,0,杀死山贼头领;	0	10011	1	1.2	-2
10012	开封城	1	5	1	1	13.57,56.88,-31.94	0,11,-9,60,180	KFF	1001	开封城协助开封守将击败刺客	5000	icon	1	开封城	202001	30	300	0	0	1	0	0	0	0	3,,0,协助消灭所有刺客;	3,,0,杀死山贼头领;3,,0,杀死山贼头领;	0	10012	1	1.2	-2
10013	开封城	1	5	1	1	13.57,56.88,-31.94	0,11,-9,60,180	KFF	1001	开封城与萧乔切磋	5000	icon	1	开封城	202001	30	300	0	0	1	0	0	0	0	3,,0,与萧乔切磋;	3,,0,杀死山贼头领;3,,0,杀死山贼头领;	0	10013	1	1.2	-2
10014	开封城	1	5	1	1	13.57,56.88,-31.94	0,11,-9,60,180	KFF	1001	开封城保护百事通	5000	icon	1	开封城	202001	30	300	0	0	1	0	0	0	0	3,,0,保护百事通;	3,,0,杀死山贼头领;3,,0,杀死山贼头领;	0	10014	1	1.2	-2
10015	开封城	1	5	1	1	13.57,56.88,-31.94	0,11,-9,60,180	KFF	1001	开封城协助守将守城	5000	icon	1	开封城	202001	30	300	0	0	1	0	0	0	0	3,,0,保护百事通;	3,,0,杀死山贼头领;3,,0,杀死山贼头领;	0	10015	1	1.2	-2
