id	desc	pAttackAll	sAttackAll	pDefenceAll	sDefenceAll	lifeAll
1	平衡（3秒）	490	490	2000	2000	1500
2	外攻（3秒）	630	210	1000	1000	1500
3	内攻（3秒）	350	630	1000	1000	1500
4	外防（3秒）	420	420	5000	1000	1500
5	内方（3秒）	420	420	1000	5000	1500
6	双攻（3秒）	600	600	1000	1000	1500
7	双防（3秒）	350	350	4000	4000	1500
8	平衡（5秒）	560	560	2000	2000	2550
9	外攻（5秒）	720	240	1000	1000	2550
10	内攻（5秒）	400	720	1000	1000	2550
11	外防（5秒）	480	480	5000	1000	2550
12	内方（5秒）	480	480	1000	5000	2550
13	双攻（5秒）	700	700	1000	1000	2550
14	双防（5秒）	400	400	4000	4000	2550
15	平衡（10秒）	630	630	2000	2000	5250
16	外攻（10秒）	810	270	1000	1000	5250
17	内攻（10秒）	450	810	1000	1000	5250
18	外防（10秒）	540	540	5000	1000	5250
19	内方（10秒）	540	540	1000	5000	5250
20	双攻（10秒）	790	790	1000	1000	5250
21	双防（10秒）	450	450	4000	4000	5250
22	平衡（30秒）	900	900	2000	2000	15000
23	外攻（30秒）	1020	300	1000	1000	15000
24	内攻（30秒）	500	1020	1000	1000	15000
25	外防（30秒）	820	500	5000	1000	15000
26	内方（30秒）	500	820	1000	5000	15000
27	双攻（30秒）	1000	1000	1000	1000	15000
28	双防（30秒）	700	700	4000	4000	15000
100	铁面人	1000	1000	2000	2000	7500
101	平衡（10秒）塔防怪物	490	490	2000	2000	5500
102	新手关卡怪物精英	100	100	2000	2000	13000
103	新手关卡怪物小怪	50	50	1000	1000	7000
104	新手关卡怪物boss	200	200	4000	4000	50000
105	平衡（10秒）塔防怪物精英	490	490	2000	2000	10000
106	外攻（30秒）加强	1020	300	1000	1000	25000
