id	name	modleId	camp	type	birthAnimation	level	horoscopeId	battlePoint	criticalAll	dodgeAll	hitAll	antiCriticalAll	strikeAll	armorAll	antiStrikeAll	damageRAll	shieldRecoverAll	shieldCdAll	moveSpeed	aiId	skillId	dropId	showDropId	isActive	isInvincible	size	isShowHP	deathSkillId	monsterIcon	hpThickness	cruiseDialogue	skillDialogue	birthDialogue	deathDialogue	runDialogue	dialogueShowTime	dialogueCD
2000002	野猴	203608	2	1	0	3	2	2230	500	500	9000	5	0	0	0	0	0	10	5	103	500001	0	1	1	0	1	1	0	icon_guaiwu_30	0						1	5
2000003	野猴头领	203617	2	3	0	3	21	2230	500	500	9000	5	0	50	0	0	0	10	5	201	510001;520001	0	2	1	0	1	1	0	icon_guaiwu_30	5		吼~吼吼				1	5
2000028	神秘人	202110	1	2	0	3	23	2230	500	500	9000	5	0	50	0	0	0	10	5	306	510001;520001;520004;520007	0	0	1	0	1	1	0	icon_guaiwu_19	0							
2000017	神秘游客	203004	1	2	0	5	23	2322	500	500	9000	5	0	50	0	0	0	10	5	100	500000	0	0	1	0	1	1	0	icon_guaiwu_8	0							
2000018	野蜂	203613	2	1	0	5	2	2322	500	500	9000	5	0	0	0	0	0	10	5	103	500001	0	1	1	0	1	1	0	icon_guaiwu_30	0						1	5
2000023	野蜂王	203618	2	2	0	5	21	2322	500	500	9000	5	0	500000	0	0	0	10	5	100	1000000	0	2	1	0	1	1	0	icon_guaiwu_30	0						1	5
2000019	野狼	203607	2	1	0	5	6	2322	500	500	9000	5	0	50	0	0	0	10	5	103	500000	0	1	1	0	1	1	0	icon_guaiwu_30	0						1	5
2000037	神秘人	203101	2	1	0	10	7	2630	500	500	9000	5	0	0	0	0	0	10	5	103	500000	0	1	1	0	1	1	0	icon_guaiwu_29	0							
2000038	神秘人	203102	2	3	0	10	21	2630	500	500	9000	5	0	50	0	0	0	10	5	201	501002;502002	0	2	1	0	1	1	0	icon_guaiwu_29	0							
2000001	地痞	203001	2	1	0	13	2	6364	500	500	9000	5	0	0	0	0	0	10	5	103	500000	0	1	1	0	1	1	0	icon_guaiwu_8	0						1	5
2000020	阿姐	202001	1	2	0	13	23	6364	500	500	9000	5	0	50	0	0	0	10	5	1003	500000	0	0	1	0	1	1	0	icon_nv	0							
2000029	阿姐	202001	1	2	0	15	23	6918	500	500	9000	5	0	50	0	0	0	10	3	1003	500000	0	0	1	0	1	1	0	icon_nv	0							
2000021	地痞	203001	2	1	0	15	2	6918	500	500	9000	5	0	0	0	0	0	10	5	103	500000	0	1	1	0	1	1	0	icon_guaiwu_8	0						1	5
2000022	地痞首领	203313	2	2	0	15	21	6918	500	500	9000	5	0	30	0	0	0	10	5	202	510001;520001	0	2	1	0	1	1	0	icon_guaiwu_8	0						1	5
2000024	刘剑晶	203301	1	2	0	15	28	6918	500	500	9000	5	0	50	0	0	0	10	5	100	500000	0	3	1	0	1	1	0	icon_guaiwu_7	0						1	5
2000004	铁面侠	201000	2	3	0	10	28	2630	500	500	9000	5	0	100	0	0	0	10	5	303	510001;520001;520004;520007	0	3	1	0	1	1	0	icon_boss	10							
2000005	移动到此	210006	1	2	0	100	9	1980	500	500	9000	5	0	50	0	0	0	10	0	3001	510001;520001	0	1	1	1	1	0	0	icon_guaiwu_23	0							
2000006	侍卫首领	203311	2	2	0	100	102	700000	500	500	9000	5	0	30	0	0	0	10	5	202	510001;520001	0	2	1	0	1	1	0	icon_guaiwu_6	0						1	5
2000007	侍卫	203308	2	1	0	100	103	700000	500	500	9000	5	0	0	0	0	0	10	5	103	500000	0	1	1	0	1	1	0	icon_guaiwu_3	0						1	5
2000008	侍卫首领	203313	2	2	0	100	102	700000	500	500	9000	5	0	30	0	0	0	10	5	202	510001;520001	0	2	1	0	1	1	0	icon_guaiwu_8	0						1	5
2000009	侍卫	203001	2	1	0	100	103	700000	500	500	9000	5	0	0	0	0	0	10	5	103	500000	0	1	1	0	1	1	0	icon_guaiwu_8	0						1	5
2000010	受惊美女	900000	1	2	0	100	102	700000	500	500	9000	5	0	100	0	0	0	10	5	103	500000	0	1	1	0	1	1	0	icon_skill_meiren_1	0						1	5
2000011	萧乔	202106	1	2	0	100	104	700000	500	500	9000	5	0	100	0	0	0	10	5	306	510001;520001;520004;	0	2	1	0	1	1	0	icon_touxiang3	0						1	5
2000012	铁面侠	201000	1	2	0	100	104	700000	500	500	9000	5	0	100	0	0	0	10	5	306	510001;520001;520004;520007	0	2	1	0	1	1	0	icon_boss	0						1	5
2000013	第一庄主	202116	2	3	0	100	104	700000	500	500	9000	5	0	100	0	0	0	10	5	305	510001;520001;520004;	0	2	1	0	1	1	0	icon_guaiwu_28	8						1	5
2000014	角色替换	900000	1	2	0	100	1	460000	500	500	9000	5	0	100	0	0	0	10	7	306	510001;520001;520004;	0	1	1	0	1	1	0	icon_skill_meiren_1	0						1	5
2000015	美人替换	900000	1	2	0	100	104	700000	500	500	9000	5	0	100	0	0	0	10	7	306	510001;520001;520004;520007	0	1	1	0	1	0	0	icon_skill_meiren_1	0						1	5
2000016	神兵	202117	2	2	0	100	1	1980	500	500	9000	5	0	50	0	0	0	10	5	100	1000000	0	2	1	0	1	0	0	icon_guaiwu_8	0						1	5
