index	mapid	level	resvise
0	800001	1	1
1	800001	2	1.1
2	800001	3	1.2
3	800001	4	1.3
4	800001	5	1.4
5	800001	6	1.5
6	800001	7	1.6
7	800001	8	1.7
8	800001	9	1.8
9	800001	10	1.9
10	800001	11	2
11	800001	12	2.1
12	800001	13	2.2
13	800001	14	2.3
14	800001	15	2.4
15	800001	16	2.5
16	800001	17	2.6
17	800001	18	2.7
18	800001	19	2.8
19	800001	20	2.9
20	800002	1	1
21	800002	2	1.1
22	800002	3	1.2
23	800002	4	1.3
24	800002	5	1.4
25	800002	6	1.5
26	800002	7	1.6
27	800002	8	1.7
28	800002	9	1.8
29	800002	10	1.9
30	800002	11	2
31	800002	12	2.1
32	800002	13	2.2
33	800002	14	2.3
34	800002	15	2.4
35	800002	16	2.5
36	800002	17	2.6
37	800002	18	2.7
38	800002	19	2.8
39	800002	20	2.9
